Billing	index_en	id	msg	time	chat_id	user_id	word count	Language	Preassigned Topic	Preassigned Subtopic	Topic_L1	Topic_L2	AnswerType	Confirmation	Scenario							
789	18862	308430	try to pay online but this pop up<NL>This site can’t be reached<NL><NL>maybankard 3 dsecure.maybank.com.my’s server DNS address could not be found.	1474932829	13192	0	19	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	ErrorCode							
793	18946	308807	once go to enter pay now, the system can not be prcoess	1474944596	13210	0	12	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
795	18977	308877	Good morning, I want to ask why I choose "pay now" with online payment... There didn't show any thing?	1474945870	13213	0	19	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
802	19177	309273	message said my payment by credit card fail due to unable to pass security check. What's wrong?	1474951877	13227	0	17	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	TransactionCannotGoThrough							
803	19203	309331	OK. Thanks. But nowadays I found that there is problem to download and pay bill on line	1474953331	13229	0	17	English	Billing	Billing Details	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
807	19303	309433	I cannot download the bill to pay	1474955100	13235	0	7	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
825	19702	310937	Why I can't pay my account online now?<NL>When I click on the link, no response	1475020929	13295	0	15	English	Billing	Billing Charges	Billing	BillingTroubleShooting	Reason	False	CannotPayBill							
825	19711	310946	no error, just when i click download & pay bill, it didn't link me to make payment	1475021137	13295	0	17	English	Billing	Billing Charges	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
827	19762	311056	Hi I want to pay bil but there is no record found in the bill system	1475023162	13301	0	16	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	NoResultFound							
827	19772	311071	when i click download & pay bills, it shows no resily found	1475023398	13301	0	12	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	NoResultFound							
831	19881	311384	I WANT TO MAKE A PAYMENT..BUT I CANT	1475027750	13318	0	8	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
834	19944	311547	why i cannot online pay mybill	1475028990	13324	0	6	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
837	20012	311902	I'm trying to download & pay my bill online (like I always do!), but neither Download nor Pay Now will open.	1475033948	13336	0	21	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
837	20019	311923	I'm on payment page right now, but nothing will download.	1475034103	13336	0	10	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
837	20022	311936	Wenndy Radiu. Not got my ic with me at the moment, not sure of number offhand. Just need to know why I cant pay my bill online!	1475034296	13336	0	27	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
846	20250	312820	how i do the payment but cannot	1475044635	13378	0	7	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
850	20321	313140	i also can't pay the bill on the same time	1475048183	13390	0	10	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
853	20389	313309	i want to pay the bill....but why there is nothing happen went i click at "pay now"?	1475050203	13398	0	17	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	CannotPayBill							
857	20459	313707	Made payment through redone online. Page showed error. However mobile received notification ambank credit card was charged.please verify.	1475057568	13415	0	18	English	Billing	Payment Status	Billing	PaymentStatus	Procedure	False	PaymentStatusOthers							
858	20472	313762	HI, I cant download bill online, may I know the reason?	1475058792	13418	0	11	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	CannotPayBill							
859	20486	313779	why i cannot download bill ?	1475059308	13419	0	6	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	CannotPayBill							
859	20495	313788	i click on download or pay now.... nothing change on the screen.	1475059439	13419	0	12	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
862	20563	313864	Hi. I wish to pay my bill through online<NL>but it seems that after I click on '' download '' or '' pay now'', nothing happes	1475063143	13425	0	25	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
862	20579	313948	and also why the page remain in '' download bill '' even though after I have clicked on '' pay now ''	1475065507	13425	0	22	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	CannotPayBill							
875	21005	315104	how come i click 'pay now' it was no response >	1475126496	13471	0	11	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
876	21040	315298	I clicked on Pay Now but payment page did not appear.	1475128507	13479	0	11	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotViewBill							
882	21189	315851	cannot download & pay bill	1475135750	13502	0	5	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
887	21319	316182	HELLO<NL>WHY I WANT PAY PAYMENT BUT CAN NOT?	1475141835	13516	0	8	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
888	21338	316195	i cant pres the pay now button<NL>my account has been barred and i want to pay the bill online thankx	1475142046	13517	0	20	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
889	21360	316243	Hi I M Ms Kuo, please guide, where is the menu? I cooldn't find where is the menu? How to do? I find so hard to do my payment? I don want auto debit	1475142820	13519	0	34	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	WhereIsMenu							
1211	29795	348395	unable to pay bill online now?	1476080741	14913	0	6	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	WhyCannotPayBill							
1214	29885	349341	hi, i want make online payment now, but why can't?	1476100069	14948	0	10	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
1214	29892	349348	i click "pay now" but can't function	1476100149	14948	0	7	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1215	29913	349444	internet error while make the payment	1476104019	14952	0	6	English	Billing	Payment Status	Billing	BillingTroubleShooting	Procedure	False	TransactionCannotGoThrough							
1215	29927	349471	I pay using credit card but facing internet error..	1476104285	14952	0	9	English	Billing	Payment Status	Billing	BillingTroubleShooting	Procedure	False	TransactionCannotGoThrough							
1222	30098	350678	WHY CANNOT ONLINE PAYMENT ?	1476168892	15007	0	5	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
1224	30144	351012	Yap That's what I'm doing but cant go to Credit card payment	1476174736	15017	0	12	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	BillingTroubleShootingOthers							
1224	30145	351014	It's direct proceed into MBB online secured payment site	1476174766	15017	0	9	English	Billing	Make Payment - Selfcare	None	None	None	False	None							
1229	30269	352001	i tried to pay my bill via PBB online. they requested Customer ID and as stated in my bill its is 201363716 	1476238824	15058	0	22	English	Billing	Payment Channel	None	None	None	False	None							
1229	30270	352004	but when i key in into PBB online system, it's stated invalid ID	1476238845	15058	0	13	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Procedure	False	AccountInvalid							
1239	30489	352563	cant pay online..what happen?	1476249017	15081	0	4	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1271	31193	354066	i've opened up and click on pay now but nothing happened.	1476322787	15151	0	11	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1279	31391	354635	Go to menu > setting > show advanced setting > Privacy (content setting) > Pop-ups (allow all sites to show pop-up)> DONE	1476328326	15177	0	22	English	Billing	Make Payment - Selfcare	None	None	None	False	None							
1280	31407	354663	i cannot pay the bill with online	1476329018	15179	0	7	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1280	31417	354679	before i can pay with online	1476329102	15179	0	6	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	None	False	CannotPayBill							
1286	31543	354857	Hello Sir/Mdm,<NL><NL>I try few times to make payment via online, but it was transactions failed. <NL>Before i click "proceed" payment, as the following need to choice , therefore, i try to tick <NL>*I agree to save my credit card information for next purchase.<NL> *I authorize Mobile 88. com Sdn Bhd to debit the above net charges from my credit card and I have read & agreed to iPay 88 Privacy Statement.<NL><NL>Besides, i click procced then it always show transactions failed	1476332395	15191	0	77	English	Billing	Payment Status	Billing	BillingTroubleShooting	Procedure	False	TransactionCannotGoThrough							
1286	31561	354902	due to transaction failed	1476333009	15191	0	4	English	Billing	Payment Status	Billing	BillingTroubleShooting	None	False	TransactionCannotGoThrough							
1286	31563	354904	May i know that what is error?	1476333088	15191	0	7	English	Billing	Payment Status	Billing	BillingTroubleShooting	Object	False	BillingTroubleShootingOthers							
1286	31572	354924	But normally Client will be choose *I agree to save my credit card information for next purchase. or	1476333709	15191	0	18	English	Billing	Payment Status	None	None	None	True	None							
1286	31573	354926	Basically, This is for Business man to use right ?*I authorize Mobile 88. com Sdn Bhd to debit the above net charges from my credit card and I have read & agreed to iPay 88 Privacy Statement.	1476333757	15191	0	34	English	Billing	Payment Status	None	None	None	True	None							
1289	31649	355413	I did that before but the payment doesn't succeful	1476341019	15214	0	9	English	Billing	Increase credit limit	Billing	BillingTroubleShooting	Procedure	False	TransactionCannotGoThrough							
1291	31692	355522	why i cant make payment online?	1476342881	15221	0	6	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
1291	31696	355533	and now i cant make online payment	1476342960	15221	0	7	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1301	31974	355924	Active Back ipay 88 credit card	1476347921	15238	0	5	English	Billing	Payment Type	Wrong	Wrong	Request	False	None							
1301	31975	355927	Hi please active back my ipay 88 credit card system	1476347937	15238	0	10	English	Billing	Payment Type	Wrong	Wrong	Request	False	None							
1301	31992	355988	yes cannot pau credit card through ipay 88 	1476348919	15238	0	7	English	Billing	Payment Type	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1304	32050	356016	unable proceeds payment : after click pay now pls help	1476349294	15242	0	10	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1309	32141	356261	Trying to make payment online by failed	1476354498	15255	0	7	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1311	32192	356472	i cant download and pay the bill	1476357343	15265	0	7	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1311	32205	356506	i already try, allow all sites to show pop-up, also cant	1476358051	15265	0	11	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	StillNotWorking							
1312	32227	356552	when i'm in "download and pay bill"	1476359136	15269	0	7	English	Billing	Make Payment - Selfcare	None	None	None	False	None							
1312	32228	356554	the "pay now"	1476359157	15269	0	3	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1315	32265	356626	been trying many times to pay online, but why can't?	1476360995	15275	0	10	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1320	32408	356919	WHY IS PAY NOW IN SELF CARE NOT WORKING .I CANT PROCEED WITH MY PAYMENT	1476403838	15284	0	15	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	CannotPayBill							
1320	32420	356946	WHEN I CLICK PAY NOW NOTHING SHOWING	1476404191	15284	0	7	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1321	32428	356925	Payment cannot be done through internet online. This happened since last night. Pissed off of this!!!	1476403931	15285	0	16	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1321	32441	356949	I clicked the "paynow" but nothing came out	1476404202	15285	0	8	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1321	32443	356955	WHAT POP-UP BLOCKER?	1476404326	15285	0	3	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	HowEnablePopOut							
1324	32497	357316	WHY I DOWNLOARD TO PAY BUT CANOT?	1476411040	15304	0	7	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	CannotPayBill							
1326	32545	357434	Hi,y i cannot pay bill after login	1476412223	15308	0	7	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	CannotPayBill							
1331	32709	358312	why cannot log in your pay now	1476429500	15340	0	7	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	CannotPayBill							
1334	32786	358489	cannnt pay	1476431968	15349	0	2	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1334	32788	358494	page didnt came out for pay bill	1476432058	15349	0	7	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1339	32894	358740	hello<NL>why when i click to pay now it cant	1476436220	15362	0	9	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1339	32904	358759	i need to pay	1476436395	15362	0	4	English	Billing	Make Payment - Selfcare	Billing	PaymentChannel	Procedure	False	HowPay							
1342	32996	359587	i press "pay nw"but show ntg ter	1476490500	15393	0	7	English	Billing	Payment Type	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1344	33025	359761	hai, why the system cnt pay the bill?	1476493783	15401	0	8	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
1344	33030	359770	i login to my page and click pay now	1476493889	15401	0	9	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1346	33073	360101	Sir i cannotpay thru my iphone	1476499108	15417	0	6	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1347	33098	360132	Hi,why I already click the pay now button but stil no any response	1476499727	15418	0	13	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
1348	33129	360234	i'm trying to pay my bill but i can't seem to do it online..	1476501721	15422	0	14	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1348	33143	360284	i clicked the pay now lonk but nothing happened	1476502218	15422	0	9	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1348	33145	360314	online banking<NL>i clicked the pay now lonk but nothing happened	1476502435	15422	0	10	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1349	33153	360265	Why i cannot make payment after i click pay now button in order to proceed on line payment	1476502096	15427	0	18	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
1349	33155	360281	Why i cannot make payment after i click pay now button in order to proceed on line payment<NL>mode_edit	1476502201	15427	0	18	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
1350	33172	360396	why cant i pay the bills ?	1476503130	15435	0	7	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
1353	33262	360968	I HAD ASKED U JUZST NOW ABOUT HOW CAN I OPEN DOWNLOAD AND PAY BILL QUESTIONS	1476508848	15460	0	16	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1353	33280	361049	I NOT UNDERSTAND WHERE CAN I FIND " MENU "AND THE STEP ,WHERE CAN I FIND IT	1476509458	15460	0	17	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	WhereIsMenu							
1354	33336	361215	i tried clicking the pay now button but its going through	1476511656	15464	0	11	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1355	33355	361302	why i cant pay online	1476513099	15471	0	5	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
1358	33447	361441	i cant pay my bill online	1476514592	15479	0	6	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1358	33460	361479	i click pay now but nothing come out	1476514915	15479	0	8	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1362	33525	361702	i cant pay the bill using selfcare website.	1476516643	15488	0	8	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1363	33568	362024	so how am i going to pay bill?	1476521509	15498	0	8	English	Billing	Billing Details	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1364	33599	362087	Problem is when I click on download and pay bill, I only see download, I don't know how to pay bill	1476522240	15503	0	21	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1364	33601	362140	Hmmm my pop up blocker already off but still don't see the link yet	1476522757	15503	0	14	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	StillNotWorking							
1365	33610	362194	why I want to pay my bill on line but after I clik Pay now it's no respone	1476524049	15507	0	18	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	CannotPayBill							
1365	33618	362203	sorry, may I know "go to menu" is my computer menu ?I cant find	1476524293	15507	0	14	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	WhereIsMenu							
1366	33640	362343	I've try click on the download and pay bill. But what happen is i don't see any pay bill button. I did disable the pop up block in setting already.	1476526817	15512	0	30	English	Billing	Payment Status	Billing	BillingTroubleShooting	Procedure	False	StillNotWorking							
1371	33749	362941	i can't pay my bill via online	1476534563	15537	0	7	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1373	33806	363371	im now at redone online, i dont know how to proceed for the pymt, pls help uragent	1476574509	15555	0	17	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1373	33807	363378	im try to pay by pbebank ,but couldnt find the redone account? pls help	1476574592	15555	0	14	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotFindPayee							
1373	33808	363398	maybank 2 u couldnt find yr Account also?	1476574798	15555	0	6	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotFindPayee							
1373	33813	363405	redone online at download bill i click at Pay Now,why cant proceed	1476574923	15555	0	12	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
1373	33817	363416	at Public Bank online, from the pyment screed i cant find redone account, i dont know to to make payment?	1476575078	15555	0	20	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	WhyCannotPayBill							
1373	33823	363426	what is pop-up blocker?	1476575241	15555	0	4	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Object	False	HowEnablePopOut							
1374	33869	363660	used to be ok when i click on 'Pay Now' button..	1476578274	15566	0	11	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1374	33880	363679	i m using apple mac..do u know how to check the pop up function?	1476578467	15566	0	14	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	HowEnablePopOut							
1380	34113	364431	SORRY HOW TO ALLOW POP UP BLOCKER?	1476588751	15591	0	7	English	Billing	Make Payment - Dealers	Billing	BillingTroubleShooting	Procedure	False	HowEnablePopOut							
1380	34116	364435	STILL FINDING HOW TO ALLOW POPUP	1476589321	15591	0	6	English	Billing	Make Payment - Dealers	Billing	BillingTroubleShooting	Procedure	False	HowEnablePopOut							
1382	34157	364456	WHY WHEN I CLICK pAY nOW, THERE IS NO RESPONSE	1476589915	15595	0	10	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
1382	34162	364470	I AM TRYING TO MAAKE PAYMENT	1476590016	15595	0	6	English	Billing	Make Payment - Selfcare	Billing	PaymentChannel	Procedure	False	HowPay							
1382	34163	364474	I WENT TO DOWNLOAD AND PAY BILL THEN A PAGE APPEAR. i PRESSEDON THE ICON PAY NOW BUT NO RESPOND	1476590084	15595	0	20	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1384	34223	364720	your self care login not working since morning	1476595197	15604	0	8	English	Billing	Make Payment - Kiosk / Epay / BSN / Maybank / RHB	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1386	34290	365066	since like this is the link, but when i click on the column on download and pay bill. it only appear on auto debit.	1476598188	15613	0	24	English	Billing	Payment Status	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1390	34393	365147	IT SHOWN NO RESULT FOUND	1476598842	15626	0	5	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	NoResultFound							
1395	34555	365338	can~t pop up	1476600683	15632	0	3	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	HowEnablePopOut							
1402	34746	365771	Why can not print receipt?	1476606799	15648	0	5	English	Billing	Billing Details	Billing	BillingTroubleShooting	Reason	False	ReceiptProblem							
1402	34748	365774	i press print receipt,then untitled	1476606878	15648	0	5	English	Billing	Billing Details	Billing	BillingTroubleShooting	Procedure	False	ReceiptProblem							
1403	34769	365849	I can't make payments as online	1476609328	15652	0	6	English	Billing	Un-bar lines - Overdue Payment	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1406	34832	365934	When I click "pay now" under my bills, nothing happens	1476610444	15656	0	10	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1408	34880	365990	HAI, can i know why i cant pay my bil trough this website? the wrods pay now didnt give any respons tome	1476611554	15659	0	22	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
1411	34958	366356	cimbclicks down????	1476620964	15677	0	2	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	ObjectName	True	BillingTroubleShootingOthers							
1411	34959	366357	cannot pay my bill	1476620990	15677	0	4	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1414	35108	366742	Pay Now is not functioning, pls help!!!	1476666134	15695	0	7	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1414	35118	366802	tried but still fail to pay	1476666666	15695	0	6	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	StillNotWorking							
1419	35229	367592	WHY CAN'T ONLINE PAYMENT	1476675002	15736	0	4	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
1419	35230	367596	I CLICK PAY NOW NOT RESPON	1476675025	15736	0	6	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1423	35303	368168	Hi, how can I download past receipts from Self Care portal?<NL>Your existing "Print Receipt" is not working.	1476679845	15763	0	17	English	Billing	Billing Address	Billing	BillingTroubleShooting	Procedure	False	ReceiptProblem							
1432	35536	369257	i am trying to pay online but not succesful	1476692751	15807	0	9	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1435	35589	370518	Why i can't pay oct bill ?	1476758903	15868	0	7	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
1435	35602	370542	So why no i can't make the payment thru selfcare, it didn't allow me to press the "pay now" botton.	1476759750	15868	0	20	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	CannotPayBill							
1438	35681	370746	I click on Pay Now word which appear on Download bill screen but it seems doesnt work	1476763164	15878	0	17	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1450	35991	371480	why i cant pay my bill?	1476777508	15913	0	6	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	CannotPayBill							
1455	36102	371850	I try to press the pay now but it show no response	1476784137	15930	0	12	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1456	36119	371875	I hv made full settlement for the bill, why still show pay now?	1476784757	15932	0	13	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
1456	36127	371885	I hv made full settlement for the bill, why still show pay now?	1476785086	15932	0	13	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
1458	36164	371996	Hello, when i clicked at pay now, why did i cannot open?	1476791203	15938	0	12	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
1459	36180	372012	How to setup pop up in Android?	1476791653	15939	0	7	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	HowEnablePopOut							
1460	36192	372154	why cant pay now	1476795513	15951	0	4	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
1460	36203	372208	i try already. but pay via cimb click was unsuccessful!	1476796696	15951	0	10	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	TransactionCannotGoThrough							
1460	36210	372231	server add could not found, may be my line problem...	1476797587	15951	0	10	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	NoResultFound							
1467	36381	373163	ok. The "Pay Now" option for the month should go shortly after I pay right?	1476852982	15990	0	15	English	Billing	Payment Status	Billing	BillingTroubleShooting	Others	True	BillingTroubleShootingOthers							
1471	36491	373495	I click pay now but no response	1476859108	16006	0	7	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1479	36675	373942	DOWLOAD AND PAY CANNOT	1476867317	16023	0	4	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1479	36685	373968	Download & Pay Bill <NL>No Result Found!	1476867576	16023	0	7	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	NoResultFound							
1481	36722	373997	HELLO<NL>WHY I CANNOT PAY MY BILL?	1476869204	16026	0	6	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1482	36743	374105	pay bills service down?	1476872603	16031	0	4	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1482	36753	374123	cant pay thr bills	1476872989	16031	0	4	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1490	36923	374592	i cant pay online through redone website	1476922237	16049	0	7	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1490	36925	374594	when i lick pay now, nothing come up	1476922256	16049	0	8	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
1490	36935	374604	it was pop up setting problem	1476922469	16049	0	6	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	HowEnablePopOut							
